date,city,max_temp_F,min_temp_F,energy_consumption,energy_change,day_of_week,is_weekend
2025-04-23,Chicago,76.0,56.0,1965444,,Wednesday,False
2025-04-23,Chicago,76.0,56.0,1966137,693.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,1966554,417.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,1965657,-897.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,1940555,-25102.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,1941994,1439.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,1942673,679.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,1941311,-1362.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,2001023,59712.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,2006025,5002.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,2006595,570.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,2003818,-2777.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,35576,-1968242.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,39887,4311.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,40041,154.0,Wednesday,False
2025-04-23,Chicago,76.0,56.0,38160,-1881.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1247638,,Wednesday,False
2025-04-23,Houston,77.0,69.0,1249686,2048.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1251724,2038.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1248399,-3325.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1261210,12811.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1263477,2267.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1264739,1262.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1262218,-2521.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1245668,-16550.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1247654,1986.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1249658,2004.0,Wednesday,False
2025-04-23,Houston,77.0,69.0,1246398,-3260.0,Wednesday,False
2025-04-23,New York,76.0,54.0,339599,,Wednesday,False
2025-04-23,New York,76.0,54.0,339988,389.0,Wednesday,False
2025-04-23,New York,76.0,54.0,340232,244.0,Wednesday,False
2025-04-23,New York,76.0,54.0,339780,-452.0,Wednesday,False
2025-04-23,New York,76.0,54.0,330823,-8957.0,Wednesday,False
2025-04-23,New York,76.0,54.0,331044,221.0,Wednesday,False
2025-04-23,New York,76.0,54.0,331135,91.0,Wednesday,False
2025-04-23,New York,76.0,54.0,330934,-201.0,Wednesday,False
2025-04-23,New York,76.0,54.0,304017,-26917.0,Wednesday,False
2025-04-23,New York,76.0,54.0,304510,493.0,Wednesday,False
2025-04-23,New York,76.0,54.0,305604,1094.0,Wednesday,False
2025-04-23,New York,76.0,54.0,303793,-1811.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,82526,,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,82292,-234.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,82078,-214.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,82443,365.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,85070,2627.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,84927,-143.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,84762,-165.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,85053,291.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,47996,-37057.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,48027,31.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,47826,-201.0,Wednesday,False
2025-04-23,Phoenix,91.0,66.0,48194,368.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,23675,,Wednesday,False
2025-04-23,Seattle,66.0,43.0,23831,156.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,23904,73.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,23756,-148.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,24083,327.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,24131,48.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,24154,23.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,24110,-44.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,14160,-9950.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,14321,161.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,14532,211.0,Wednesday,False
2025-04-23,Seattle,66.0,43.0,14229,-303.0,Wednesday,False
2025-04-24,Chicago,75.0,51.0,1991453,1953293.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1990303,-1150.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1989232,-1071.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1990828,1596.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1962343,-28485.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1961826,-517.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1961297,-529.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1962128,831.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1998221,36093.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1996655,-1566.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1995481,-1174.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,1997434,1953.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,6772,-1990662.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,6355,-417.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,6251,-104.0,Thursday,False
2025-04-24,Chicago,75.0,51.0,6609,358.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1237172,-9226.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1240716,3544.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1242532,1816.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1238857,-3675.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1271021,32164.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1271877,856.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1270596,-1281.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1271392,796.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1237904,-33488.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1241283,3379.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1243098,1815.0,Thursday,False
2025-04-24,Houston,85.0,67.0,1239547,-3551.0,Thursday,False
2025-04-24,Houston,85.0,67.0,731,-1238816.0,Thursday,False
2025-04-24,Houston,85.0,67.0,566,-165.0,Thursday,False
2025-04-24,Houston,85.0,67.0,565,-1.0,Thursday,False
2025-04-24,Houston,85.0,67.0,689,124.0,Thursday,False
2025-04-24,New York,77.0,56.0,348022,44229.0,Thursday,False
2025-04-24,New York,77.0,56.0,347868,-154.0,Thursday,False
2025-04-24,New York,77.0,56.0,347655,-213.0,Thursday,False
2025-04-24,New York,77.0,56.0,347981,326.0,Thursday,False
