period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region
2025-04-23,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,339599,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,D,Demand,Central,Central,339988,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,340232,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,339780,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,339599,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,330823,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,331044,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,331135,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,330934,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,330823,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,304017,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,304510,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,305604,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,303793,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,304017,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-35582,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-35478,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-34628,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-35987,megawatthours,New York
2025-04-23,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-35582,megawatthours,New York
